Time,PM1.0,PM2.5,PM10,Temp,Gas,Humidity,Pressure,Altitude
2025-02-21 15:42:39.087878,0,1,1,33.41359375,61986,100,647.0894081200802,3626.0679569594226
2025-02-21 15:42:40.098886,0,1,1,24.2719921875,13175,37.82999640146629,1010.0988434532017,26.268626966861923
2025-02-21 15:42:41.109949,0,1,1,24.31046875,24885,37.75254279263285,1010.0996626978555,26.26178897321376
2025-02-21 15:42:42.121144,0,1,1,24.356171875,37076,37.646811809063365,1010.1093995007799,26.18051909304394
2025-02-21 15:42:43.133390,0,1,1,24.3977734375,48654,37.52911293977745,1010.1035865243306,26.22903801246693
2025-02-21 15:42:44.145055,0,1,1,24.4341015625,59663,37.410954023739116,1010.1109634145729,26.16746567994242
2025-02-21 15:42:45.156154,0,1,1,24.4645703125,69778,37.30387189730192,1010.1083315316148,26.189433048189134
2025-02-21 15:42:46.167953,0,1,1,24.492109375,78840,37.17918085207961,1010.1143574632488,26.139136860527554
2025-02-21 15:42:47.180002,0,1,1,24.5153515625,86788,37.094665507196446,1010.1181689840045,26.10732365403639
2025-02-21 15:42:48.191613,0,1,2,24.5352734375,94782,37.033002661155436,1010.1214342929115,26.080069531991363
2025-02-21 15:42:49.203209,0,1,2,24.550703125,100030,36.96512449422667,1010.1204454664098,26.088322831858246
2025-02-21 15:42:50.215769,0,1,2,24.5645703125,105999,36.88555209754128,1010.1184963235461,26.104591489155506
2025-02-21 15:42:51.227880,0,0,1,24.5774609375,111607,36.82325710917922,1010.1148791519164,26.134782532619063
2025-02-21 15:42:52.239811,0,1,2,24.586640625,117187,36.74328243232428,1010.1203003807198,26.08953379884828
2025-02-21 15:42:53.250853,0,1,2,24.5942578125,121141,36.67473870897653,1010.1298870914219,26.009518007813426
2025-02-21 15:42:54.261917,0,1,2,24.601875,125371,36.629312227844544,1010.1360572221457,25.95801913733371
2025-02-21 15:42:55.272934,0,0,1,24.609296875,128620,36.60696398156606,1010.1299357721323,26.00911169425781
2025-02-21 15:42:56.283942,0,0,1,24.6159375,133189,36.5960830361144,1010.1258969359451,26.042821894891745
2025-02-21 15:42:57.294984,0,1,2,24.621015625,135651,36.60236105892543,1010.1191906005853,26.09879665435238
2025-02-21 15:42:58.307053,0,1,2,24.6251171875,139233,36.60277015570357,1010.1142337216235,26.14016968294477
2025-02-21 15:42:59.318678,0,1,2,24.6266796875,140742,36.59138285485439,1010.1049425570837,26.217719652242696
2025-02-21 15:43:00.331421,0,0,1,24.625703125,144231,36.60860048625332,1010.1084005810719,26.188856716932737
2025-02-21 15:43:01.344095,0,0,1,24.627265625,144602,36.60875635814368,1010.1144844380232,26.138077052397787
2025-02-21 15:43:02.356887,0,0,1,24.6286328125,146995,36.70127286099693,1010.1202349147419,26.09008021486259
2025-02-21 15:43:03.369578,0,0,2,24.6262890625,150535,36.787694603680684,1010.1230674650351,26.066438176959917
2025-02-21 15:43:04.382275,0,0,2,24.6188671875,153549,36.77539453852873,1010.1257730806651,26.043855656378412
2025-02-21 15:43:05.393961,0,0,2,24.608125,155673,36.704998326867035,1010.121102155167,26.08284173892057
2025-02-21 15:43:06.404829,0,0,1,24.5989453125,158451,36.611703325046335,1010.1242229448222,26.05679391633532
2025-02-21 15:43:07.416445,0,0,1,24.589765625,159650,36.512699185717366,1010.1239267867182,26.05926581155147
2025-02-21 15:43:08.428080,0,0,1,24.580390625,162572,36.3964501377223,1010.1215886245158,26.07878139456199
2025-02-21 15:43:09.439876,0,0,1,24.5708203125,164314,36.297551525410874,1010.1308740570664,26.00128030204116
2025-02-21 15:43:10.452621,0,0,1,24.5559765625,165117,36.19819853428437,1010.1294480422308,26.01318253265905
2025-02-21 15:43:11.464226,0,0,1,24.539375,167577,36.11599867599617,1010.1352688569661,25.964599197063226
2025-02-21 15:43:12.475750,0,0,2,24.52140625,168413,36.039462438192345,1010.1336298400253,25.97827920239856
2025-02-21 15:43:13.487266,0,0,2,24.5055859375,170283,35.96317999161318,1010.1322413666467,25.989868067526867
2025-02-21 15:43:14.498510,0,0,2,24.488984375,170111,35.898350793860985,1010.1261020709198,26.04110973043026
2025-02-21 15:43:15.509646,1,1,3,24.4817578125,167577,35.909130688135335,1010.0966847851081,26.286644754657328
2025-02-21 15:43:16.520756,1,1,3,24.4860546875,162729,36.26612821433688,1010.0971887313618,26.28243845601085
2025-02-21 15:43:17.531738,1,1,3,24.481953125,164795,36.94086809826499,1010.1038500589235,26.226838374767866
2025-02-21 15:43:18.542774,1,1,1,24.4630078125,169598,37.33269867849282,1010.112495518238,26.154677790141623
2025-02-21 15:43:19.554101,1,1,1,24.434296875,173969,37.41097382439975,1010.1147125479722,26.136173109308423
2025-02-21 15:43:20.566858,1,1,1,24.3997265625,176887,37.24516209977629,1010.1120445369673,26.15844195860049
2025-02-21 15:43:21.579534,1,1,1,24.3782421875,174149,37.011428972020816,1010.1026848408784,26.2365640750407
2025-02-21 15:43:22.592778,1,1,1,24.3782421875,168581,37.150325817087634,1010.0890233628339,26.350592716137275
2025-02-21 15:43:23.607759,1,1,1,24.3798046875,165117,37.74799479810188,1010.0694912703352,26.513623948175308
2025-02-21 15:43:24.620646,1,1,1,24.381171875,164314,38.534747490693995,1010.041087175376,26.750712911921653
2025-02-21 15:43:25.633347,1,1,1,24.3735546875,166420,39.277531508077914,1010.0110053943815,27.001811406347283
2025-02-21 15:43:26.646057,1,1,1,24.365546875,166584,39.81161492953869,1009.9768419024444,27.286988082039734
2025-02-21 15:43:27.657676,0,0,0,24.349921875,171146,40.116414510539514,1009.945043167497,27.552432180003365
2025-02-21 15:43:28.668847,0,0,0,24.3196484375,175598,40.10137267224687,1009.922387221102,27.741559783402465
2025-02-21 15:43:29.680713,0,0,0,24.3008984375,173077,39.857723190998115,1009.9057433843163,27.88050160905984
2025-02-21 15:43:30.692883,0,0,2,24.2837109375,175234,39.78523825190704,1009.8781071883641,28.11121113418979
2025-02-21 15:43:31.704584,0,0,2,24.2684765625,174509,39.718881237174074,1009.8503908677012,28.342594682236044
2025-02-21 15:43:32.716122,0,0,2,24.2508984375,176332,39.64054397211887,1009.8203808545087,28.593132411023404
2025-02-21 15:43:33.727814,0,0,2,24.231953125,177072,39.52684150069739,1009.7982807195065,28.77763860466955
2025-02-21 15:43:34.739834,0,0,2,24.212421875,175416,39.389677591720115,1009.7734727260482,28.98475564386094
2025-02-21 15:43:35.751672,0,0,2,24.1915234375,177632,39.2700949978435,1009.7429161038574,29.239872512198357
2025-02-21 15:43:36.762646,0,1,2,24.17140625,180868,39.162416520750945,1009.7119861620315,29.498112587863808
2025-02-21 15:43:37.773904,0,1,2,24.1489453125,181257,38.97843076685913,1009.6787621895938,29.775513104938433
2025-02-21 15:43:38.784951,0,1,2,24.130390625,180288,38.824323568846346,1009.6522069695619,29.997238798755816
2025-02-21 15:43:39.795948,0,1,2,24.108125,180868,38.71090186602801,1009.6363859910977,30.129340021391712
2025-02-21 15:43:40.806954,0,1,2,24.0815625,181843,38.56792167461653,1009.6251763334017,30.222938880699328
2025-02-21 15:43:41.818925,0,1,2,24.0657421875,181647,38.48454810194602,1009.6203563666272,30.26318509552867
2025-02-21 15:43:42.831548,0,1,2,24.0503125,181647,38.47711605240467,1009.6162024187382,30.29787024763812
2025-02-21 15:43:43.845476,0,1,2,24.0298046875,184628,38.492504790763704,1009.613618189249,30.319448427603373
2025-02-21 15:43:44.858547,0,1,2,24.0001171875,186258,38.34942709492168,1009.6107193687515,30.34365347911825
2025-02-21 15:43:45.871211,0,1,2,23.9774609375,184426,38.11403284341164,1009.6095824901932,30.35314639136089
2025-02-21 15:43:46.883914,0,1,2,23.95734375,185313,38.01302886627214,1009.6042459447651,30.39770655003235
2025-02-21 15:43:47.896585,0,1,2,23.9282421875,187937,37.87629801809682,1009.6023387279896,30.413631857921672
2025-02-21 15:43:48.907885,0,1,2,23.9003125,189439,37.61210348776965,1009.5921905133879,30.49837011390202
2025-02-21 15:43:49.919379,0,1,2,23.8727734375,191849,37.30787375934635,1009.5946509745698,30.47782503869248
2025-02-21 15:43:50.930867,0,1,2,23.8501171875,192517,36.99897329708936,1009.5900894425696,30.51591427889387
2025-02-21 15:43:51.942645,0,1,2,23.8290234375,191849,36.67932988567442,1009.5796630630019,30.602976095545273
2025-02-21 15:43:52.956707,0,1,2,23.81125,194321,36.44129208811971,1009.5766114604895,30.628457567099797
2025-02-21 15:43:53.968122,0,1,2,23.796796875,195811,36.10050921782441,1009.5775225217418,30.62085002279303
2025-02-21 15:43:54.979841,1,1,3,23.785859375,196159,35.85258972184308,1009.5810240804453,30.59161135660501
2025-02-21 15:43:55.991452,0,0,2,23.7833203125,193527,35.645986927047815,1009.5732759314342,30.656309951572027
2025-02-21 15:43:57.003331,0,0,2,23.79171875,188792,35.658258231519724,1009.5790873939397,30.607783038849725
2025-02-21 15:43:58.014410,0,1,2,23.7981640625,189007,35.93411589738874,1009.5730327244905,30.658340784734545
2025-02-21 15:43:59.025427,1,2,3,23.8008984375,189007,36.21011416874809,1009.574289865806,30.647843373773576
2025-02-21 15:44:00.036402,1,2,3,23.81125,185236,36.55650215176017,1009.5766114604895,30.628457567099797
2025-02-21 15:44:01.047391,1,2,3,23.8223828125,182630,37.10026095643007,1009.5870915137272,30.540947355045144
2025-02-21 15:44:02.058374,1,2,3,23.835078125,182432,37.75060995761298,1009.5951208885447,30.473901218770898
2025-02-21 15:44:03.069550,0,1,2,23.84484375,178761,38.38590573553395,1009.5964407964617,30.46287988817988
2025-02-21 15:44:04.082344,0,1,2,23.8598828125,175598,39.15319976909966,1009.59652752479,30.462155700508717
2025-02-21 15:44:05.095088,0,1,2,23.895234375,168581,40.09725664730043,1009.6057025681747,30.385543724455342
2025-02-21 15:44:06.107882,0,1,2,23.9239453125,166749,41.4440099160306,1009.6103600682404,30.34665362995479
2025-02-21 15:44:07.120675,0,1,2,23.9251171875,172370,42.34411659089796,1009.6140675068287,30.315696646292707
2025-02-21 15:44:08.133333,0,1,2,23.9315625,173077,42.64392980386864,1009.6148340136428,30.309296352455007
2025-02-21 15:44:09.146143,1,2,3,23.9395703125,172546,42.84252916394718,1009.6012032674985,30.423112993055668
2025-02-21 15:44:10.158808,2,3,4,23.951875,168581,43.077870383370424,1009.5846692750317,30.561173391324886
2025-02-21 15:44:11.170295,2,3,4,23.961640625,169258,43.48769067762809,1009.5603857986779,30.763946030743043
2025-02-21 15:44:12.181400,2,3,4,23.96515625,170800,43.78925621680652,1009.5322568964589,30.99883380168679
2025-02-21 15:44:13.192814,2,3,4,23.9649609375,172723,43.90381784362319,1009.5080315639191,31.201129425829645
2025-02-21 15:44:14.204760,2,3,4,23.959296875,174149,43.8488816787294,1009.4864157437081,31.381637421897224
2025-02-21 15:44:15.216476,2,3,4,23.9512890625,175052,43.6611157952579,1009.4625054283595,31.581309785447623
2025-02-21 15:44:16.228553,2,4,5,23.9419140625,178194,43.359120277309295,1009.4277289126637,31.87173140568445
2025-02-21 15:44:17.240040,2,4,5,23.9274609375,181062,42.93710277673459,1009.4064679569333,32.049287433444135
2025-02-21 15:44:18.251810,2,4,5,23.9106640625,184426,42.34848078281261,1009.3931507622775,32.16050449286576
2025-02-21 15:44:19.264082,1,3,4,23.89015625,184830,41.68416590389997,1009.3734977552053,32.32463655040398
2025-02-21 15:44:20.275099,1,3,4,23.867109375,185520,41.01636315944115,1009.3443905870784,32.56772977326745
2025-02-21 15:44:21.286129,1,3,4,23.8407421875,188150,40.398209568856146,1009.3147334677707,32.815421840528046
2025-02-21 15:44:22.297187,1,3,4,23.8130078125,189981,39.81761188434231,1009.2759170526718,33.139619955439855
2025-02-21 15:44:23.308192,1,3,4,23.785859375,189439,39.29198432659803,1009.2466312248142,33.38422444892019
2025-02-21 15:44:24.319320,1,3,4,23.7618359375,188150,38.86199111346947,1009.2226794979921,33.584281116394955
2025-02-21 15:44:25.331327,1,3,4,23.7352734375,190746,38.52626798823472,1009.1960982833466,33.80630506722343
2025-02-21 15:44:26.343159,1,3,4,23.7106640625,191960,38.20313096463255,1009.1660269764275,34.05748629412777
2025-02-21 15:44:27.355860,1,3,4,23.68390625,193866,37.85141118862674,1009.1425223141225,34.2538215191672
2025-02-21 15:44:28.368671,1,2,4,23.658125,195006,37.5353913962378,1009.127506523942,34.37925085168254
2025-02-21 15:44:29.381385,2,3,5,23.6344921875,195927,37.20289571287155,1009.117862527236,34.45980951841945
2025-02-21 15:44:30.394138,2,3,5,23.6110546875,195811,36.90579505880801,1009.1068445829198,34.551845869004445
2025-02-21 15:44:31.406767,1,3,3,23.5899609375,198863,36.6498623531582,1009.1032375575314,34.58197666215499
2025-02-21 15:44:32.418428,1,3,3,23.5704296875,198625,36.394525301320094,1009.095474488489,34.646824693238564
2025-02-21 15:44:33.430082,1,3,3,23.5505078125,200062,36.16831612459492,1009.0955704880035,34.646022768305244
2025-02-21 15:44:34.442439,1,3,3,23.5317578125,199580,35.96551961599616,1009.0959601680044,34.64276760549537
2025-02-21 15:44:35.453979,1,3,3,23.5067578125,200910,35.796782751976295,1009.0907928198413,34.68593274550007
2025-02-21 15:44:36.464787,1,3,3,23.476484375,201888,35.67354150612598,1009.0919661179138,34.67613165311637
2025-02-21 15:44:37.476466,1,3,3,23.4409375,203248,35.515578857927146,1009.0858357266853,34.72734170082598
2025-02-21 15:44:38.488356,1,3,3,23.397578125,203872,35.41991411897338,1009.0919354241782,34.67638805173115
2025-02-21 15:44:39.500458,1,3,3,23.3469921875,205260,35.3179192547379,1009.1010291661618,34.600424200396844
2025-02-21 15:44:40.512082,0,1,1,23.2829296875,206024,35.26609804268885,1009.1041416250948,34.57442464924927
2025-02-21 15:44:41.523586,0,1,1,23.2157421875,207312,35.19118397502393,1009.1036022465247,34.57893027857764
2025-02-21 15:44:42.534587,0,1,1,23.15734375,207831,35.048748295397594,1009.0993069757188,34.61481033892265
2025-02-21 15:44:43.545581,1,2,2,23.096796875,208353,34.94613571760735,1009.0913273076698,34.681467924456996
2025-02-21 15:44:44.556695,1,2,2,23.0221875,209670,34.8935123679735,1009.0916872170861,34.67846143773037
2025-02-21 15:44:45.567686,1,2,2,22.945625,210068,34.89195902731594,1009.1040201151513,34.575439666721714
2025-02-21 15:44:46.578941,1,1,1,22.8743359375,210201,35.01617152351446,1009.0963719096701,34.63932815332412
2025-02-21 15:44:47.591641,1,1,1,22.8065625,211811,35.09520079414068,1009.110041435471,34.52514147143837
2025-02-21 15:44:48.606367,1,1,1,22.7434765625,210601,35.42575534750943,1009.1299947634659,34.35846607862308
2025-02-21 15:44:49.620995,1,1,1,22.69328125,211811,35.36957649906817,1009.1498155829004,34.19290020657776
2025-02-21 15:44:50.633633,0,0,0,22.68078125,211947,35.31702226979058,1009.1574067644989,34.12949078075904
2025-02-21 15:44:51.646123,0,0,0,22.7005078125,212354,35.29608072893659,1009.1536498595738,34.160872300830924
2025-02-21 15:44:52.658859,0,0,0,22.7466015625,211272,35.39179495893575,1009.1472584939974,34.21425975346215
2025-02-21 15:44:53.671381,0,0,0,22.79640625,212354,35.390845728548896,1009.1574189557738,34.129388946892604
2025-02-21 15:44:54.682647,0,0,0,22.849921875,212490,35.39596306612746,1009.1602821290197,34.105472853462814
2025-02-21 15:44:55.694371,0,1,1,22.8989453125,213584,35.36068213230285,1009.1656798427191,34.06038588658456
2025-02-21 15:44:56.706106,0,1,1,22.9446484375,214135,35.222370370579576,1009.1568752666838,34.133930389457035
2025-02-21 15:44:57.717938,0,1,1,22.9938671875,213997,35.10730201812931,1009.1625864672534,34.086224750224396
2025-02-21 15:44:58.730100,0,1,1,23.0391796875,214273,35.00902556823746,1009.1530936784366,34.16551810371076
2025-02-21 15:44:59.741772,0,1,1,23.0899609375,214135,34.69509737959069,1009.1512284194359,34.18109870052791
2025-02-21 15:45:00.752790,0,1,1,23.1253125,214135,34.56202004429271,1009.1519681467023,34.17491972083268
2025-02-21 15:45:01.764251,0,1,1,23.1321484375,214968,34.44908019362802,1009.1397845840307,34.27669011032504
2025-02-21 15:45:02.775921,0,1,1,23.1065625,215947,34.37290336620689,1009.1352774745682,34.31433865117149
2025-02-21 15:45:03.787312,1,2,2,23.051875,217077,34.27137533199424,1009.1304745962744,34.3544579419242
2025-02-21 15:45:04.798445,1,2,2,22.9841015625,217933,34.202712415817146,1009.1322702690948,34.33945835157636
2025-02-21 15:45:05.809610,1,2,2,22.9212109375,217647,34.179864039783006,1009.1304611919384,34.354569910929186
2025-02-21 15:45:06.820662,1,2,2,22.8565625,216369,34.20217644388722,1009.1290385218157,34.36645375557076
2025-02-21 15:45:07.831665,1,3,3,22.788203125,216652,34.258140497498005,1009.131476920795,34.346085335391386
2025-02-21 15:45:08.842852,1,3,3,22.7173046875,215107,34.3195478751783,1009.1295548244681,34.362140975927694
2025-02-21 15:45:09.855293,1,3,3,22.646015625,216511,34.43764355117202,1009.1218338728328,34.42663582039005
